ID,Group,Feature_1,Feature_2,Feature_3
ID001,C,2536.3500529124667,407.86544120879364,-2148.3196360777397
ID002,A,2800.0,388.976343782833,6469.555632843005
ID003,C,2517.229220232084,394.6883853782802,-2132.796910193461
ID004,C,2732.6894282099456,406.8030675061776,-2321.8659152006185
ID005,A,2525.4959354360963,418.36876656439216,5484.739544878096
ID006,A,2672.986777964268,424.3509484344857,5909.250106006104
ID007,C,2653.986976982812,376.9457805996052,-2250.7913304307162
ID008,B,2524.9132198762227,404.01626836546694,5034.342065937932
ID009,C,2346.9425129106767,421.8924040507528,-1932.837075435194
ID010,C,2459.6358343106576,374.72033591857087,-2082.646388466018
ID011,C,2723.356776082672,404.7157524108227,-2331.905263482483
ID012,C,2631.673775272017,399.96874303869726,-2222.318840937851
ID013,A,2434.952450984223,406.2181272156968,5283.88718834007
ID014,C,2448.65370420634,388.41543962010286,-2053.5248756742967
ID015,B,2240.369034435165,378.4657175767984,4483.577049880844
ID016,A,2716.6508187972718,371.30340362231465,6309.871943615879
ID017,B,2632.909534036923,414.64575930193155,5251.95156229382
ID018,B,2479.4383268437223,416.5607370472503,4959.659872031555
ID019,B,2530.0201628760133,404.54028023493976,5051.174691327264
ID020,B,2200.0,391.9877747546785,4410.678995990782
ID021,A,2426.9928255935874,375.6543115980138,5380.706824816615
ID022,A,2700.1668461296204,408.45018193757534,6057.912622313868
ID023,B,2647.232106509512,383.4883107574497,5298.487077263863
ID024,B,2549.6050835595897,389.33052062859196,5087.840261499494
ID025,A,2497.7922612047596,391.2015388065592,5529.854809194824
ID026,A,2619.460814454449,397.0369716145455,5873.382133067085
ID027,A,2457.7922340173373,388.6143932918703,5441.765892145958
ID028,C,2250.2960205707486,400.5018815648845,-1862.1885697489088
ID029,C,2499.070129048919,390.67272549240414,-2118.6988028410115
ID030,C,2560.4678990628368,410.52059597258835,-2136.440249837764
ID031,B,2668.401652719703,415.4659437098208,5333.527600640368
ID032,C,2283.8206359256,401.6281401404266,-1891.522964263313
ID033,B,2481.5633040172816,406.9393950307165,4971.870825601166
ID034,B,2488.7044517867316,431.76783924438837,4971.5505396066765
ID035,C,2334.812214272933,382.41095114708025,-1940.0722047017875
ID036,B,2573.150991238494,381.4979784807984,5138.337337953231
ID037,C,2612.10520474177,410.4249685116531,-2203.595370972017
ID038,C,2456.3961537953437,429.1981425627215,-2015.8583512479574
ID039,A,2800.0,396.09252157091913,6416.82226169132
ID040,C,2452.0959988699515,425.9025076332814,-2017.1208513717263
ID041,A,2432.9974793963997,401.4465057819024,5290.973337998316
ID042,C,2428.6492978047095,389.7866907694138,-2015.0823053584954
ID043,C,2377.6751390067266,385.13961417043447,-1973.7101815870578
ID044,A,2416.1461760149214,409.4412037733018,5185.29535402905
ID045,A,2284.8866696151213,386.2756139832596,4929.548863104042
ID046,C,2471.270076413006,401.21915264150545,-2079.847771604713
ID047,B,2508.6211004536444,423.7519753807614,5019.540284172802
ID048,A,2200.0,395.3982941069294,4623.828977017076
ID049,B,2484.7075731280215,419.7101421196585,4956.750502050933
ID050,B,2506.3201122612895,381.7818476541039,5025.342039044943
ID051,B,2577.188348603581,391.991363480248,5156.81633252999
ID052,A,2680.695260886374,378.89283960677625,6144.20538819717
ID053,B,2627.7031396900766,401.09495133960036,5250.14896148923
ID054,A,2406.9454416196672,411.70117269574877,5164.007785017452
ID055,B,2389.5381741613533,401.12780631409277,4783.971448532878
ID056,C,2586.925660232478,418.4057508995523,-2170.019618769225
ID057,C,2417.908024549372,388.76231139056307,-2063.1359480081233
ID058,A,2315.791897131456,403.380141305336,4930.677673462599
ID059,C,2800.0,392.0879601457922,-2425.209824593525
ID060,C,2453.391360307421,405.42514878135484,-2050.479642313855
ID061,B,2406.0213725967183,407.5560406931864,4795.1879741086
ID062,A,2200.0,408.7359393997609,4539.322331380242
ID063,B,2627.710313856824,383.941084926466,5270.24208957703
ID064,B,2351.809623130519,386.6538084732015,4699.778142489705
ID065,B,2504.293083935174,389.4356843771322,5003.826221952485
ID066,B,2645.293473445663,396.41678878200105,5296.377235477269
ID067,B,2354.1597178413895,401.3077960630965,4703.8723494059095
ID068,B,2511.922367772631,410.62133682785014,5049.090408650791
ID069,B,2728.5681115290713,387.2785195099115,5453.85998592943
ID070,A,2200.0,375.9847105344737,4724.4579522714275
ID071,C,2378.424122953117,432.3361474481018,-1934.436679528493
ID072,B,2364.318717431939,383.02820469021356,4747.864473571161
ID073,B,2471.964231615939,412.5448558449333,4935.024389603986
ID074,B,2492.831368393969,400.4690031587301,4980.647174741875
ID075,B,2340.8106050580113,403.7695846120957,4696.916312619544
ID076,B,2401.8439980830476,399.9767424124615,4813.408743814727
ID077,B,2384.0162544320765,394.2273717707931,4780.934620092175
ID078,C,2447.3816132240695,406.9595842438519,-2056.8464835029336
ID079,C,2532.7334098796646,393.42119190614056,-2120.736220926436
ID080,B,2636.584618355662,417.4945412085518,5264.032346191906
ID081,C,2658.299649481962,408.52661509384234,-2247.465518650417
ID082,A,2598.0451392002988,408.9939116992224,5747.387184573683
ID083,B,2368.9038820772357,392.39315409915116,4727.265970115895
ID084,A,2499.5056119508968,396.45467894366504,5499.293011973313
ID085,A,2800.0,382.18130787036904,6468.16728324856
ID086,B,2652.179903903095,394.70475914911657,5305.788028678838
ID087,C,2433.924316168971,384.4513612546555,-2067.7767839971166
ID088,A,2737.305727444567,419.6960277338307,6099.831256523504
ID089,B,2441.789621530388,400.7580372339101,4880.962812522397
ID090,A,2399.7397047545096,402.5574585256065,5154.766119632378
ID091,A,2709.3597903892846,396.62280208974965,6154.313117263634
ID092,A,2303.552606498215,402.9636838307711,4866.920742335507
ID093,A,2212.933362959747,436.9731645378653,4453.00579749392
ID094,C,2641.192686709071,395.4978957341126,-2245.514560255827
ID095,A,2504.153639742432,390.2438044793501,5567.6986374727285
ID096,A,2519.1048217805733,407.94539699358165,5517.0873107451325
ID097,A,2445.7865740859534,362.1142204959627,5551.003515344045
ID098,C,2464.225994892391,400.959351803664,-2060.6708405099052
ID099,A,2431.2835145752933,394.4243064506065,5334.372360263771
ID100,A,2406.10106046184,385.11530100945856,5284.045122631784
ID101,C,2442.713466644686,407.6163650546725,-2033.6480199157397
ID102,C,2437.982314177345,400.8098262766869,-2018.601646760311
ID103,C,2375.7124343471896,372.96386638758673,-2005.6009094558785
ID104,A,2418.2246201002235,390.30205718211346,5305.470391560446
ID105,C,2200.0,356.67593192210916,-1831.553826688241
ID106,C,2602.696330233275,404.39903971200255,-2207.2040447635723
ID107,A,2558.5379903474714,404.2494912766023,5628.427790659572
ID108,C,2487.263675125625,388.1007715924949,-2096.0960196885817
ID109,A,2535.5986577139615,408.1016906752469,5578.151549797946
ID110,B,2541.036610470794,380.7625206831772,5065.855871762885
ID111,C,2391.3997305093553,385.5022446109751,-1997.854847131052
ID112,B,2420.1129546669395,406.2578569657385,4848.349505981953
ID113,A,2579.2474914445565,389.66999867555586,5762.110525846507
ID114,C,2531.12552277387,399.06014565696336,-2143.3008407057882
ID115,A,2800.0,391.5452645886049,6437.523731688196
ID116,B,2742.9418233155966,393.8360326555122,5483.728158628371
ID117,A,2639.9518210582523,394.4916367606751,5938.479668194166
ID118,C,2385.739762640827,389.39864864172733,-2005.905147642086
ID119,C,2415.316449509564,404.5367457154019,-1990.721909099977
ID120,B,2349.69299145569,390.5810726986908,4698.095273329073
ID121,A,2541.9636024680062,400.235300706934,5616.373779947551
